balls,strikes,outs_when_up,base_state,expected_runs,sample_size
2,0,0,101,2.008695652173913,115
2,0,0,110,1.8850574712643677,348
2,0,0,111,2.674698795180723,83
2,0,1,000,0.3524856357731701,4003
2,0,1,001,0.9638009049773756,221
2,0,1,010,0.7837150127226463,786
2,0,1,011,1.4538745387453875,271
2,0,1,100,0.6935791481246026,1573
2,0,1,101,1.4244897959183673,245
2,0,1,110,1.269949066213922,589
2,0,1,111,1.7554347826086956,184
2,0,2,000,0.14259981987391174,3331
2,0,2,001,0.39770114942528734,435
2,0,2,010,0.36515291936978683,1079
2,0,2,011,0.567741935483871,310
2,0,2,100,0.3094198378041173,1603
2,0,2,101,0.46153846153846156,325
2,0,2,110,0.5558659217877095,716
2,0,2,111,1.010600706713781,283
2,1,0,000,0.5297134574646003,8969
2,1,0,001,1.5,70
2,1,0,010,1.2604456824512535,718
2,1,0,011,1.875,120
2,1,0,100,0.9756613756613757,1890
2,1,0,101,1.9361702127659575,141
2,1,0,110,1.5698689956331877,458
2,1,0,111,2.5327868852459017,122
2,1,1,000,0.3121661721068249,6740
2,1,1,001,0.96,325
2,1,1,010,0.6604774535809018,1131
2,1,1,011,1.332155477031802,283
2,1,1,100,0.5892623308598866,2291
2,1,1,101,1.1837349397590362,332
2,1,1,110,0.9804878048780488,820
2,1,1,111,1.6734006734006734,297
2,1,2,000,0.12548800892359174,5379
2,1,2,001,0.3422459893048128,561
2,1,2,010,0.3188405797101449,1449
2,1,2,011,0.5672371638141809,409
2,1,2,100,0.25266297400937365,2347
2,1,2,101,0.4307400379506641,527
2,1,2,110,0.44514388489208634,1112
2,1,2,111,0.9093137254901961,408
2,2,0,000,0.4563538803821489,15282
2,2,0,001,1.4253731343283582,134
2,2,0,010,1.0857142857142856,1155
2,2,0,011,1.7241379310344827,203
2,2,0,100,0.8213483146067416,2670
2,2,0,101,1.7427385892116183,241
2,2,0,110,1.5151515151515151,759
2,2,0,111,1.8901734104046244,173
2,2,1,000,0.23591331269349844,11305
2,2,1,001,0.8831967213114754,488
2,2,1,010,0.6223250433776749,1729
2,2,1,011,1.1626016260162602,492
2,2,1,100,0.46102771362586603,3464
2,2,1,101,1.0614754098360655,488
2,2,1,110,0.8991466252909232,1289
2,2,1,111,1.4934782608695651,460
2,2,2,000,0.08909030617884381,9047
2,2,2,001,0.2335928809788654,899
2,2,2,010,0.25463743676222594,2372
2,2,2,011,0.44871794871794873,702
2,2,2,100,0.16421291053227632,3532
2,2,2,101,0.378419452887538,658
2,2,2,110,0.3360995850622407,1687
2,2,2,111,0.7282958199356914,622
3,0,0,000,0.7460024600246002,1626
3,0,0,001,1.2333333333333334,30
3,0,0,010,1.3256880733944953,218
3,0,0,011,2.2093023255813953,43
3,0,0,100,1.3423913043478262,368
3,0,0,101,1.6923076923076923,39
3,0,0,110,2.2448979591836733,98
3,0,0,111,2.5714285714285716,28
3,0,1,000,0.4394849785407725,1165
3,0,1,001,0.9473684210526315,95
3,0,1,010,0.9195046439628483,323
3,0,1,011,1.4324324324324325,148
3,0,1,100,0.8140900195694716,511
3,0,1,101,1.7524752475247525,101
3,0,1,110,1.5459770114942528,174
3,0,1,111,2.3947368421052633,38
3,0,2,000,0.1976284584980237,1012
3,0,2,001,0.4835164835164835,182
3,0,2,010,0.3645833333333333,480
3,0,2,011,0.6234567901234568,162
3,0,2,100,0.44956140350877194,456
3,0,2,101,0.6296296296296297,108
3,0,2,110,0.7161016949152542,236
3,0,2,111,1.1333333333333333,75
3,1,0,000,0.6707595659623072,3502
3,1,0,001,1.6,50
3,1,0,010,1.440625,320
3,1,0,011,2.1785714285714284,56
3,1,0,100,1.2153047989623864,771
3,1,0,101,2.018181818181818,55
3,1,0,110,1.936842105263158,190
3,1,0,111,2.9444444444444446,54
3,1,1,000,0.4022028104823395,2633
3,1,1,001,0.9795918367346939,147
3,1,1,010,0.7754716981132076,530
3,1,1,011,1.435374149659864,147
3,1,1,100,0.7617554858934169,957
3,1,1,101,1.3333333333333333,123
3,1,1,110,1.2716417910447761,335
3,1,1,111,1.8316831683168318,101
3,1,2,000,0.1656777727065267,2191
3,1,2,001,0.3888888888888889,252
3,1,2,010,0.3626707132018209,659
3,1,2,011,0.6190476190476191,189
3,1,2,100,0.33934252386002123,943
3,1,2,101,0.5753424657534246,219
3,1,2,110,0.6371490280777538,463
3,1,2,111,1.04,150
3,2,0,000,0.5586339477552866,8843
3,2,0,001,1.3214285714285714,112
3,2,0,010,1.2188328912466844,754
3,2,0,011,1.9411764705882353,136
3,2,0,100,1.0274485339987522,1603
3,2,0,101,1.7936507936507937,126
3,2,0,110,1.8057553956834533,417
3,2,0,111,2.2777777777777777,90
3,2,1,000,0.3171496862862265,6694
3,2,1,001,0.9159891598915989,369
3,2,1,010,0.740495867768595,1210
3,2,1,011,1.4766355140186915,321
3,2,1,100,0.6127110228401191,2014
3,2,1,101,0.9305555555555556,288
3,2,1,110,1.0495552731893265,787
3,2,1,111,1.7449392712550607,247
3,2,2,000,0.1306550850524792,5526
3,2,2,001,0.3075601374570447,582
3,2,2,010,0.3076923076923077,1573
3,2,2,011,0.44234800838574423,477
3,2,2,100,0.24687199230028875,2078
3,2,2,101,0.48058252427184467,412
3,2,2,110,0.49951409135082603,1029
3,2,2,111,0.8882978723404256,376
